EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,new_actions/mean_Mean,new_actions/mean_Std,new_actions/mean_Max,new_actions/mean_Min,new_actions/std_Mean,new_actions/std_Std,new_actions/std_Max,new_actions/std_Min,new_actions/max_Mean,new_actions/max_Std,new_actions/max_Max,new_actions/max_Min,new_actions/min_Mean,new_actions/min_Std,new_actions/min_Max,new_actions/min_Min
22,33.2091543674469,99000,-1211.71509,-72.30321,nan,3.16631,10.50062,19.34380,5000.00000,-0.07063,0.00973,-0.03590,-0.10764,0.17276,0.09518,1.32147,0.07250,0.16891,0.09431,1.36997,0.05995,-41.02141,1.23309,-37.41054,-44.92931,-0.40942,0.02322,-0.31080,-0.47464,0.78461,0.01491,0.82876,0.73503,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
23,33.45112228393555,102000,-1762.01123,-58.10114,nan,3.25043,10.55190,19.64862,4478.25000,-0.06838,0.01026,-0.02958,-0.10494,0.18814,0.12036,1.39404,0.07412,0.18216,0.12269,1.37629,0.06501,-43.01386,1.16513,-39.62268,-46.39734,-0.40212,0.02353,-0.33360,-0.47017,0.79002,0.01576,0.84333,0.74341,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
24,31.99092411994934,105000,-2193.87162,-140.24093,nan,3.11686,10.55531,18.31860,5000.00000,-0.06744,0.00996,-0.03372,-0.10136,0.16988,0.08707,1.37803,0.07321,0.17225,0.09188,1.45111,0.07139,-45.22197,1.08257,-41.62589,-48.26057,-0.31346,0.02967,-0.23575,-0.40165,0.80327,0.01934,0.86093,0.74798,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
25,31.71257495880127,108000,-2275.36779,-325.98504,nan,3.18293,10.23897,18.29047,5000.00000,-0.06916,0.01120,-0.02747,-0.11293,0.23338,0.12654,1.60506,0.07204,0.22918,0.12964,1.71396,0.07127,-46.51235,0.94892,-43.06974,-49.57785,-0.24114,0.03013,-0.14634,-0.33072,0.81463,0.02128,0.88151,0.73842,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
26,32.37322235107422,111000,-1239.50614,84.71477,nan,3.26336,10.92632,18.02353,4576.75000,-0.06610,0.01206,-0.02078,-0.10914,0.21030,0.06940,0.75907,0.07128,0.20429,0.06695,0.76622,0.08947,-47.50430,0.77113,-45.23045,-49.59933,-0.24767,0.02371,-0.17459,-0.32270,0.83452,0.01944,0.88350,0.77124,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
27,33.024293661117554,114000,-1386.39943,-235.78732,nan,2.99232,10.70771,19.32408,3930.00000,-0.06705,0.01284,-0.02514,-0.12536,0.22168,0.10691,1.54325,0.07678,0.21908,0.11179,1.69068,0.06239,-48.52735,0.76335,-46.23246,-50.31155,-0.26600,0.02989,-0.18441,-0.33334,0.85352,0.01535,0.89518,0.80815,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
28,31.706063985824585,117000,-1842.13672,-1103.52706,nan,3.10460,10.00228,18.59900,5000.00000,-0.07386,0.01549,-0.02005,-0.12952,0.23794,0.10296,1.49763,0.07154,0.23380,0.10293,1.45474,0.09580,-49.44536,0.71537,-46.55730,-51.48941,-0.23932,0.02738,-0.16291,-0.31509,0.85304,0.01532,0.90456,0.80287,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
29,33.078654766082764,120000,-1836.90131,-2649.90299,nan,3.10233,10.36776,19.60840,4104.75000,-0.09485,0.02170,-0.03120,-0.16432,0.24031,0.10603,2.22951,0.07514,0.23142,0.10902,2.28421,0.08313,-49.93806,0.84147,-47.42751,-52.10648,-0.27323,0.01942,-0.21292,-0.32239,0.84804,0.01595,0.89261,0.80071,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
30,33.06101155281067,123000,-1360.06747,-154.80959,nan,3.11628,10.71217,19.23235,5000.00000,-0.09375,0.02191,-0.03022,-0.17712,0.21882,0.18259,4.09305,0.09178,0.22638,0.18236,4.01353,0.10307,-50.59825,0.90450,-47.33467,-53.37260,-0.23585,0.03028,-0.16834,-0.31856,0.84592,0.01581,0.89746,0.79379,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
31,33.02593469619751,126000,-1232.95466,-132.67167,nan,3.22277,10.43303,19.36997,3974.00000,-0.09295,0.02241,-0.03548,-0.17180,0.22003,0.18934,4.15347,0.09290,0.22011,0.19180,4.08435,0.09591,-51.21076,0.98190,-48.22936,-54.18296,-0.19629,0.02640,-0.10728,-0.26360,0.84409,0.01599,0.88341,0.79250,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
